INJ_OBD;INJ_HW;IGN;IAC;RPM;MAP;ECT;TPS;SPD;O2SENS;AVG SPD;LPK_OBD;LPH_OBD;LPH_INJ;TOTAL_OBD;TOTAL_INJ;AVG_OBD;AVG_INJ;CURR_OBD;CURR_INJ;CURR_RUN;RUN_TOTAL;INJ_CLOSED;CLOSED_DUR;SAVED_FUEL;;;ÊÃ\× ÂÎÇÄÓÕÀ;;ãð\ñåê;;;1;0.75
2.25;2.3;16.06;37.25;1150;2;82.11;0;65;2.5;79.15;2.87;1.86;1.91;23.22;23.62;26.71;27.75;0.49;0.51;1.83;175.66;3740056;3005750.5;12.02;;5.69625;20.5065;;5.69625;2.848125;;;
2.25;2.34;16.53;37.25;1200;2;82.11;0;67;2.5;79.15;2.9;1.94;2.02;23.22;23.63;26.39;27.41;0.49;0.51;1.86;175.69;3740056;3005750.5;12.02;;5.94125;21.3885;;5.94125;2.970625;;;
2.25;2.34;16.53;37.25;1200;2;82.11;0;67;2.5;79.15;2.9;1.94;2.02;23.22;23.63;26.39;27.41;0.49;0.51;1.86;175.69;3740056;3005750.5;12.02;;5.94125;21.3885;;5.94125;2.970625;;;
2.25;2.34;16.53;37.25;1200;2;82.11;0;67;2.5;79.15;2.9;1.94;2.02;23.22;23.63;26.39;27.41;0.49;0.51;1.86;175.69;3740056;3005750.5;12.02;;5.94125;21.3885;;5.94125;2.970625;;;
2.25;2.36;16.53;37.25;1200;2;82.11;0;67;2.5;79.15;2.9;1.94;2.04;23.22;23.63;26.39;27.41;0.49;0.51;1.86;175.69;3740056;3005750.5;12.02;;5.94125;21.3885;;5.94125;2.970625;;;
2.25;2.36;16.53;37.25;1200;2;82.11;0;67;2.5;79.15;2.9;1.94;2.04;23.22;23.63;26.39;27.41;0.49;0.51;1.86;175.69;3740056;3005750.5;12.02;;5.94125;21.3885;;5.94125;2.970625;;;
2.25;2.36;16.53;37.25;1200;2;82.11;0;67;2.5;79.15;2.9;1.94;2.04;23.22;23.63;26.39;27.41;0.49;0.51;1.86;175.69;3740056;3005750.5;12.02;;5.94125;21.3885;;5.94125;2.970625;;;
2.25;2.36;17.47;37.25;1175;2;82.11;0;67;2.5;79.15;2.84;1.9;1.99;23.22;23.63;26.08;27.08;0.49;0.51;1.88;175.71;3740056;3005750.5;12.02;;5.81875;20.9475;;5.81875;2.909375;;;
2.25;2.36;17.47;37.25;1175;2;82.11;0;67;2.5;79.15;2.84;1.9;2;23.22;23.63;26.08;27.08;0.49;0.51;1.88;175.71;3740056;3005750.5;12.02;;5.81875;20.9475;;5.81875;2.909375;;;
2.25;2.36;17.47;37.25;1175;2;82.11;0;67;2.5;79.15;2.84;1.9;2;23.22;23.63;26.08;27.08;0.49;0.51;1.88;175.71;3740056;3005750.5;12.02;;5.81875;20.9475;;5.81875;2.909375;;;
2.25;2.31;17.47;37.25;1175;2;82.11;0;67;2.5;79.15;2.84;1.9;1.96;23.22;23.63;26.08;27.08;0.49;0.51;1.88;175.71;3740056;3005750.5;12.02;;5.81875;20.9475;;5.81875;2.909375;;;
2.25;2.31;17.47;37.25;1175;2;82.11;0;67;2.5;79.15;2.84;1.9;1.96;23.22;23.63;26.08;27.08;0.49;0.51;1.88;175.71;3740056;3005750.5;12.02;;5.81875;20.9475;;5.81875;2.909375;;;
